DATE,DEXUSUK
2014-10-31,1.6092200000000000
2014-11-07,1.5933400000000000
2014-11-14,1.5761500000000000
2014-11-21,1.5663600000000000
2014-11-28,1.5710000000000000
2014-12-05,1.5680200000000000
2014-12-12,1.5689600000000000
2014-12-19,1.5664400000000000
2014-12-26,1.5561333333333333
2015-01-02,1.5509000000000000
2015-01-09,1.5150000000000000
2015-01-16,1.5172200000000000
2015-01-23,1.5088500000000000
2015-01-30,1.5103600000000000
2015-02-06,1.5181000000000000
2015-02-13,1.5295000000000000
2015-02-20,1.5403750000000000
2015-02-27,1.5452200000000000
2015-03-06,1.5264000000000000
2015-03-13,1.4958000000000000
2015-03-20,1.4776400000000000
2015-03-27,1.4888600000000000
2015-04-03,1.4844600000000000
2015-04-10,1.4825400000000000
2015-04-17,1.4819000000000000
2015-04-24,1.5021400000000000
2015-05-01,1.5302600000000000
2015-05-08,1.5243600000000000
2015-05-15,1.5712800000000000
2015-05-22,1.5580400000000000
2015-05-29,1.5324750000000000
2015-06-05,1.5300600000000000
2015-06-12,1.5454600000000000
2015-06-19,1.5736000000000000
2015-06-26,1.5744400000000000
2015-07-03,1.5680500000000000
2015-07-10,1.5458600000000000
2015-07-17,1.5589600000000000
2015-07-24,1.5560200000000000
2015-07-31,1.5610200000000000
2015-08-07,1.5561400000000000
2015-08-14,1.5595400000000000
2015-08-21,1.5657400000000000
2015-08-28,1.5539000000000000
2015-09-04,1.5292600000000000
2015-09-11,1.5406750000000000
2015-09-18,1.5471200000000000
2015-09-25,1.5306200000000000
2015-10-02,1.5174000000000000
2015-10-09,1.5267600000000000
2015-10-16,1.5400750000000000
2015-10-23,1.5428600000000000
2015-10-30,1.5346600000000000
2015-11-06,1.5303200000000000
2015-11-13,1.5162000000000000
2015-11-20,1.5230800000000000
2015-11-27,1.5082750000000000
2015-12-04,1.5046600000000000
2015-12-11,1.5126600000000000
2015-12-18,1.4995400000000000
2015-12-25,1.4880750000000000
2016-01-01,1.4813750000000000
2016-01-08,1.4615600000000000
2016-01-15,1.4427000000000000
2016-01-22,1.4211000000000000
2016-01-29,1.4276600000000000
2016-02-05,1.4478000000000000
2016-02-12,1.4453800000000000
2016-02-19,1.4320750000000000
2016-02-26,1.3986600000000000
2016-03-04,1.4062200000000000
2016-03-11,1.4289800000000000
2016-03-18,1.4318800000000000
2016-03-25,1.4200800000000000
2016-04-01,1.4301200000000000
2016-04-08,1.4155400000000000
2016-04-15,1.4214400000000000
2016-04-22,1.4355000000000000
2016-04-29,1.4572600000000000
2016-05-06,1.4521800000000000
2016-05-13,1.4432800000000000
2016-05-20,1.4526400000000000
2016-05-27,1.4615600000000000
2016-06-03,1.4466250000000000
2016-06-10,1.4473800000000000
2016-06-17,1.4179600000000000
2016-06-24,1.4495400000000000
2016-07-01,1.3308800000000000
2016-07-08,1.2951500000000000
2016-07-15,1.3185800000000000
2016-07-22,1.3177600000000000
2016-07-29,1.3155600000000000
2016-08-05,1.3216400000000000
2016-08-12,1.2988800000000000
2016-08-19,1.3022600000000000
2016-08-26,1.3178600000000000
2016-09-02,1.3174800000000000
2016-09-09,1.3331500000000000
2016-09-16,1.3201200000000000
2016-09-23,1.3010800000000000
2016-09-30,1.2997000000000000
2016-10-07,1.2682400000000000
2016-10-14,1.22007500000000000000
2016-10-21,1.2248200000000000
2016-10-28,1.2186000000000000
2016-11-04,1.2349000000000000
2016-11-11,1.24430000000000000000
2016-11-18,1.2423600000000000
2016-11-25,1.24545000000000000000
2016-12-02,1.2535600000000000
2016-12-09,1.2636400000000000
2016-12-16,1.2587000000000000
2016-12-23,1.2335600000000000
2016-12-30,1.22642500000000000000
2017-01-06,1.23210000000000000000
2017-01-13,1.2171800000000000
2017-01-20,1.23386666666666666667
2017-01-27,1.2549200000000000
2017-02-03,1.2550200000000000
2017-02-10,1.2499400000000000
2017-02-17,1.2469000000000000
2017-02-24,1.24920000000000000000
2017-03-03,1.2346800000000000
2017-03-10,1.2185600000000000
2017-03-17,1.2273200000000000
2017-03-24,1.2467400000000000
2017-03-31,1.2504600000000000
2017-04-07,1.2457600000000000
2017-04-14,1.2491000000000000
2017-04-21,1.2751600000000000
2017-04-28,1.2856800000000000
